FIELD OF STUDY NAME,CF FIELD OF STUDY RELATED ID,,,CF FIELD OF STUDY ID,CF FIELD OF STUDY NAME,,Latest Field of study 03/08/2022,Has been assigned,,LEVEL OF STUDY NAME,CF LEVEL OF STUDY RELATED ID,,CF LEVEL OF STUDY ID,CF LEVEL OF STUDY NAME,,Latest Level of study 03/08/2022,Has been assigned
digital business management,business_engineering,,,,,,digital business management,TRUE,,,,,,,,,
information and data management,computer_science,,,,,,information and data management,TRUE,,,,,,,,,
information science,computer_science,,,,,,information science,TRUE,,,,,,,,,
mobile robotics,electrical_engineering,,,,,,mobile robotics,TRUE,,,,,,,,,
multimedia production,computer_science,,,,,,multimedia production,TRUE,,,,,,,,,
new business,business_administration_economics,,,,,,new business,TRUE,,,,,,,,,
service design,business_administration_economics,,,,,,service design,TRUE,,,,,,,,,
aerospace engineer,space_sciences,,,,,,aerospace engineer,TRUE,,,,,,,,,
earth observation,earth_sciences,,,,,,earth observation,TRUE,,,,,,,,,
environmental science,environmental_studies_and_forestry,,,,,,environmental science,TRUE,,,,,,,,,
software engineer,computer_science,,,,,,software engineer,TRUE,,,,,,,,,
system engineer,systems_science,,,,,,system engineer,TRUE,,,,,,,,,
telecom and integrated applications,systems_science,,,,,,telecom and integrated applications,TRUE,,,,,,,,,
payload engineering,mechanical_engineering,,,,,,payload engineering,TRUE,,,,,,,,,
adult and continuing education,education,,,,,,adult and continuing education,TRUE,,,,,,,,,
advanced materials science,materials_science_and_engineering,,,,,,advanced materials science,TRUE,,,,,,,,,
all specialisations,other,,,,,,all specialisations,TRUE,,,,,,,,,
ancient history and classical antiquities,history,,,,,,ancient history and classical antiquities,TRUE,,,,,,,,,
applied ethics,philosophy,,,,,,applied ethics,TRUE,,,,,,,,,
applied physical geography and mountain research,geography,,,,,,applied physical geography and mountain research,TRUE,,,,,,,,,
archeology,archaeology,,,,,,archeology,TRUE,,,,,,,,,
art history,literature_arts,,,,,,art history,TRUE,,,,,,,,,
behavioural physiology,medicine,,,,,,behavioural physiology,TRUE,,,,,,,,,
biochemistry and molecular biomedicine,life_sciences,,,,,,biochemistry and molecular biomedicine,TRUE,,,,,,,,,
bosnian/croat/serbian,linguistics_and_languages,,,,,,bosnian/croat/serbian,TRUE,,,,,,,,,
business education and development,business_administration_economics,,,,,,business education and development,TRUE,,,,,,,,,
catholic religious education,religion,,,,,,catholic religious education,TRUE,,,,,,,,,
chemical and pharmaceutical engineering,chemistry,,,,,,chemical and pharmaceutical engineering,TRUE,,,,,,,,,
conference interpreting,linguistics_and_languages,,,,,,conference interpreting,TRUE,,,,,,,,,
ecology and evolutionary biology,life_sciences,,,,,,ecology and evolutionary biology,TRUE,,,,,,,,,
english studies/american studies,literature_arts,,,,,,english studies/american studies,TRUE,,,,,,,,,
environmental system sciences,environmental_studies_and_forestry,,,,,,environmental system sciences,TRUE,,,,,,,,,
environmental systems sciences - sustainability management,environmental_studies_and_forestry,,,,,,environmental systems sciences - sustainability management,TRUE,,,,,,,,,
european ethnology,philosophy,,,,,,european ethnology,TRUE,,,,,,,,,
fundamentals of theology,religion,,,,,,fundamentals of theology,TRUE,,,,,,,,,
geisteswissenschaften,linguistics_and_languages,,,,,,geisteswissenschaften,TRUE,,,,,,,,,
geospatial technologies,space_sciences,,,,,,geospatial technologies,TRUE,,,,,,,,,
german language and literature,linguistics_and_languages,,,,,,german language and literature,TRUE,,,,,,,,,
global studies - specialization economics and environment,business_administration_economics,,,,,,global studies - specialization economics and environment,TRUE,,,,,,,,,
global studies - specialization law and politics,law,,,,,,global studies - specialization law and politics,TRUE,,,,,,,,,
global studies - specialization society and culture,sociology,,,,,,global studies - specialization society and culture,TRUE,,,,,,,,,
greek,linguistics_and_languages,,,,,,greek,TRUE,,,,,,,,,
historical science,history,,,,,,historical science,TRUE,,,,,,,,,
inclusive education,education,,,,,,inclusive education,TRUE,,,,,,,,,
